#Date/Time of Update: 2019-10-18 7:27:24 GMT,#Team ID,#Team Abbr.,#Team City,#Team Name,#GamesPlayed,#Fg2PtAtt,#Fg2PtAttPerGame,#Fg2PtMade,#Fg2PtMadePerGame,#Fg2PtPct,#Fg3PtAtt,#Fg3PtAttPerGame,#Fg3PtMade,#Fg3PtMadePerGame,#Fg3PtPct,#FgAtt,#FgAttPerGame,#FgMade,#FgMadePerGame,#FgPct,#FtAtt,#FtAttPerGame,#FtMade,#FtMadePerGame,#FtPct,#OffReb,#OffRebPerGame,#DefReb,#DefRebPerGame,#Reb,#RebPerGame,#Ast,#AstPerGame,#Pts,#PtsPerGame,#Tov,#TovPerGame,#Stl,#StlPerGame,#Blk,#BlkPerGame,#BlkAgainst,#BlkAgainstPerGame,#PtsAgainst,#PtsAgainstPerGame,#Fouls,#FoulsPerGame,#FoulPers,#FoulPersPerGame,#FoulTech,#FoulTechPerGame,#PlusMinus,#PlusMinusPerGame,#FoulsDrawn,#FoulsDrawnPerGame,#FoulPersDrawn,#FoulPersDrawnPerGame,#FoulTechDrawn,#FoulTechDrawnPerGame,#FoulFlag1,#FoulFlag1PerGame,#FoulFlag1Drawn,#FoulFlag1DrawnPerGame,#FoulFlag2,#FoulFlag2PerGame,#FoulFlag2Drawn,#FoulFlag2DrawnPerGame,#Ejections,#Wins,#Losses,#WinPct,#GamesBack
,91,ATL,Atlanta,Hawks,82,4472,54.5,2213,27.0,49.5,2544,31.0,917,11.2,36.0,7016,85.6,3130,38.2,44.6,1655,20.2,1298,15.8,78.4,1243,15.2,2854,34.8,4103,50.0,1947,23.7,8475,103.4,1230,15.0,638,7.8,348,4.2,455,5.5,8922,108.8,1660,20.2,1608,19.6,1608,0.4,-447,-5.5,1659,20.2,1659,20.2,7,0.1,1,0.0,2,0.0,0,0.0,0,0.0,0,24,58,0.293,0.0
,82,BOS,Boston,Celtics,82,4482,54.7,2202,26.9,49.1,2492,30.4,939,11.5,37.7,6974,85.0,3141,38.3,45.0,1697,20.7,1308,16.0,77.1,1240,15.1,3042,37.1,4293,52.4,1842,22.5,8529,104.0,1094,13.3,604,7.4,377,4.6,366,4.5,8235,100.4,1661,20.3,1618,19.7,1618,0.5,294,3.6,1571,19.2,1571,19.2,5,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,55,27,0.671,0.0
,84,BRO,Brooklyn,Nets,82,4188,51.1,2095,25.5,50.0,2925,35.7,1041,12.7,35.6,7113,86.7,3136,38.2,44.1,1850,22.6,1428,17.4,77.2,1228,15.0,3034,37.0,4267,52.0,1941,23.7,8741,106.6,1168,14.2,514,6.3,391,4.8,450,5.5,9048,110.3,1732,21.1,1688,20.6,1688,0.4,-307,-3.7,1615,19.7,1615,19.7,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,28,54,0.341,0.0
,93,CHA,Charlotte,Hornets,82,4872,59.4,2373,28.9,48.7,2233,27.2,824,10.0,36.9,7105,86.6,3197,39.0,45.0,2216,27.0,1656,20.2,74.7,1411,17.2,3046,37.1,4465,54.5,1771,21.6,8874,108.2,1010,12.3,559,6.8,376,4.6,409,5.0,8853,108.0,1472,18.0,1409,17.2,1409,0.7,21,0.3,1841,22.5,1841,22.5,3,0.0,2,0.0,1,0.0,0,0.0,0,0.0,1,36,46,0.439,0.0
,89,CHI,Chicago,Bulls,82,4733,57.7,2264,27.6,47.8,2549,31.1,906,11.0,35.5,7282,88.8,3170,38.7,43.5,1575,19.2,1194,14.6,75.8,1269,15.5,3008,36.7,4296,52.4,1923,23.5,8440,102.9,1090,13.3,624,7.6,290,3.5,423,5.2,9017,110.0,1627,19.8,1574,19.2,1574,0.4,-577,-7.0,1425,17.4,1425,17.4,5,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,27,55,0.329,0.0
,86,CLE,Cleveland,Cavaliers,82,4318,52.7,2330,28.4,54.0,2636,32.1,981,12.0,37.2,6954,84.8,3311,40.4,47.6,1909,23.3,1488,18.1,77.9,1139,13.9,2927,35.7,4075,49.7,1916,23.4,9091,110.9,1090,13.3,583,7.1,312,3.8,344,4.2,9014,109.9,1550,18.9,1522,18.6,1522,0.3,77,0.9,1697,20.7,1697,20.7,6,0.1,0,0.0,3,0.0,0,0.0,0,0.0,0,50,32,0.610,0.0
,108,DAL,Dallas,Mavericks,82,4352,53.1,2161,26.4,49.7,2688,32.8,967,11.8,36.0,7040,85.9,3128,38.1,44.4,1530,18.7,1167,14.2,76.3,1087,13.3,2888,35.2,3979,48.5,1858,22.7,8390,102.3,969,11.8,578,7.0,306,3.7,367,4.5,8637,105.3,1628,19.9,1578,19.2,1578,0.6,-247,-3.0,1604,19.6,1604,19.6,3,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,24,58,0.293,0.0
,99,DEN,Denver,Nuggets,82,4566,55.7,2398,29.2,52.5,2536,30.9,940,11.5,37.1,7102,86.6,3338,40.7,47.0,1833,22.4,1404,17.1,76.6,1388,16.9,2909,35.5,4312,52.6,2058,25.1,9020,110.0,1176,14.3,628,7.7,403,4.9,393,4.8,8899,108.5,1569,19.1,1533,18.7,1533,0.3,121,1.5,1699,20.7,1699,20.7,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,46,36,0.561,0.0
,88,DET,Detroit,Pistons,82,4755,58.0,2322,28.3,48.8,2373,28.9,886,10.8,37.3,7128,86.9,3208,39.1,45.0,1621,19.8,1207,14.7,74.5,1300,15.9,2917,35.6,4232,51.6,1868,22.8,8509,103.8,1050,12.8,629,7.7,318,3.9,396,4.8,8521,103.9,1569,19.1,1511,18.4,1511,0.5,-12,-0.1,1511,18.4,1511,18.4,5,0.1,1,0.0,0,0.0,0,0.0,0,0.0,0,39,43,0.476,0.0
,101,GSW,Golden State,Warriors,82,4609,56.2,2583,31.5,56.0,2369,28.9,926,11.3,39.1,6978,85.1,3509,42.8,50.3,1668,20.3,1360,16.6,81.5,1011,12.3,3058,37.3,4076,49.7,2402,29.3,9304,113.5,1232,15.0,657,8.0,612,7.5,298,3.6,8814,107.5,1675,20.4,1607,19.6,1607,0.7,490,6.0,1516,18.5,1516,18.5,3,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,58,24,0.707,0.0
,109,HOU,Houston,Rockets,82,3433,41.9,1918,23.4,55.9,3470,42.3,1256,15.3,36.2,6903,84.2,3174,38.7,46.0,2061,25.1,1609,19.6,78.1,1218,14.9,2973,36.3,4203,51.3,1767,21.5,9213,112.4,1090,13.3,701,8.5,392,4.8,361,4.4,8518,103.9,1652,20.1,1597,19.5,1597,0.6,695,8.5,1670,20.4,1670,20.4,3,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,65,17,0.793,0.0
,87,IND,Indiana,Pacers,82,5071,61.8,2604,31.8,51.4,2010,24.5,741,9.0,36.9,7081,86.4,3345,40.8,47.2,1573,19.2,1225,14.9,77.9,1222,14.9,2831,34.5,4062,49.5,1819,22.2,8656,105.6,1049,12.8,718,8.8,344,4.2,428,5.2,8543,104.2,1580,19.3,1545,18.8,1545,0.3,113,1.4,1512,18.4,1512,18.4,0,0.0,1,0.0,1,0.0,0,0.0,0,0.0,0,48,34,0.585,0.0
